x, y, z, alpha, beta, gamma, zero
0.526194, -1.05123e-16, 0.607079, -5.48053e-17, 0.240736, 3.14159, 0
0.526159, -1.05126e-16, 0.607058, -5.48735e-17, 0.241036, 3.14159, 0
0.526124, -1.0512e-16, 0.607036, -5.4941e-17, 0.241333, 3.14159, 0
0.52609, -1.05117e-16, 0.607015, -5.50078e-17, 0.241626, 3.14159, 0
0.526055, -1.05109e-16, 0.606994, -5.50739e-17, 0.241917, 3.14159, 0
0.526022, -1.05105e-16, 0.606973, -5.51393e-17, 0.242205, 3.14159, 0
0.525988, -1.05099e-16, 0.606952, -5.52042e-17, 0.24249, 3.14159, 0
0.525955, -1.05088e-16, 0.606932, -5.52683e-17, 0.242772, 3.14159, 0
0.525922, -1.05084e-16, 0.606911, -5.53319e-17, 0.243051, 3.14159, 0
0.52589, -1.05077e-16, 0.606891, -5.53947e-17, 0.243328, 3.14159, 0
0.525858, -1.0507e-16, 0.606871, -5.5457e-17, 0.243601, 3.14159, 0
0.525826, -1.05067e-16, 0.606852, -5.55186e-17, 0.243872, 3.14159, 0
0.525794, -1.05058e-16, 0.606832, -5.55797e-17, 0.244141, 3.14159, 0
0.525763, -1.05049e-16, 0.606813, -5.56401e-17, 0.244406, 3.14159, 0
0.525732, -1.05043e-16, 0.606794, -5.56999e-17, 0.244669, 3.14159, 0
0.525702, -1.05035e-16, 0.606775, -5.57591e-17, 0.244929, 3.14159, 0
0.525671, -1.05029e-16, 0.606756, -5.58177e-17, 0.245187, 3.14159, 0
0.525641, -1.05025e-16, 0.606737, -5.58757e-17, 0.245442, 3.14159, 0
0.525612, -1.05017e-16, 0.606719, -5.59332e-17, 0.245695, 3.14159, 0
0.525582, -1.05014e-16, 0.606701, -5.599e-17, 0.245945, 3.14159, 0
0.525553, -1.05007e-16, 0.606683, -5.60464e-17, 0.246192, 3.14159, 0
0.525524, -1.05e-16, 0.606665, -5.61021e-17, 0.246438, 3.14159, 0
0.525496, -1.04995e-16, 0.606648, -5.61573e-17, 0.24668, 3.14159, 0
0.525468, -1.04988e-16, 0.60663, -5.62119e-17, 0.24692, 3.14159, 0
0.52544, -1.04976e-16, 0.606613, -5.6266e-17, 0.247158, 3.14159, 0
0.525412, -1.04969e-16, 0.606596, -5.63195e-17, 0.247394, 3.14159, 0
0.525385, -1.04963e-16, 0.606579, -5.63726e-17, 0.247627, 3.14159, 0
0.525358, -1.04957e-16, 0.606562, -5.6425e-17, 0.247857, 3.14159, 0
0.525331, -1.04952e-16, 0.606545, -5.6477e-17, 0.248086, 3.14159, 0
0.525304, -1.04946e-16, 0.606529, -5.65284e-17, 0.248312, 3.14159, 0
0.525278, -1.04938e-16, 0.606513, -5.65793e-17, 0.248536, 3.14159, 0
0.525252, -1.04932e-16, 0.606497, -5.66298e-17, 0.248757, 3.14159, 0
0.525226, -1.04924e-16, 0.606481, -5.66797e-17, 0.248977, 3.14159, 0
0.525201, -1.04918e-16, 0.606465, -5.67291e-17, 0.249194, 3.14159, 0
0.525175, -1.04911e-16, 0.606449, -5.6778e-17, 0.249409, 3.14159, 0
0.52515, -1.04903e-16, 0.606434, -5.68264e-17, 0.249622, 3.14159, 0
0.525126, -1.04895e-16, 0.606418, -5.68743e-17, 0.249833, 3.14159, 0
0.525101, -1.04887e-16, 0.606403, -5.69218e-17, 0.250042, 3.14159, 0
0.525077, -1.04877e-16, 0.606388, -5.69688e-17, 0.250248, 3.14159, 0
0.525053, -1.0487e-16, 0.606373, -5.70153e-17, 0.250453, 3.14159, 0
0.525029, -1.04865e-16, 0.606359, -5.70614e-17, 0.250655, 3.14159, 0
0.525006, -1.0486e-16, 0.606344, -5.7107e-17, 0.250856, 3.14159, 0
0.524982, -1.04852e-16, 0.60633, -5.71521e-17, 0.251054, 3.14159, 0
0.524959, -1.04841e-16, 0.606315, -5.71968e-17, 0.25125, 3.14159, 0
0.524936, -1.04836e-16, 0.606301, -5.7241e-17, 0.251445, 3.14159, 0
0.524914, -1.04824e-16, 0.606287, -5.72848e-17, 0.251638, 3.14159, 0
0.524891, -1.04822e-16, 0.606273, -5.73282e-17, 0.251828, 3.14159, 0
0.524869, -1.04813e-16, 0.60626, -5.73711e-17, 0.252017, 3.14159, 0
0.524847, -1.0481e-16, 0.606246, -5.74136e-17, 0.252204, 3.14159, 0
0.524826, -1.04804e-16, 0.606233, -5.74556e-17, 0.252389, 3.14159, 0
0.524804, -1.04798e-16, 0.606219, -5.74973e-17, 0.252572, 3.14159, 0
0.524783, -1.04792e-16, 0.606206, -5.75385e-17, 0.252753, 3.14159, 0
0.524762, -1.04785e-16, 0.606193, -5.75793e-17, 0.252933, 3.14159, 0
