x, y, z, alpha, beta, gamma, zero
-0.0142595, -0.0521006, 0.60917, -1.89638, 0.0348412, 2.47176, 0
-0.0145963, -0.0521331, 0.609162, -1.8975, 0.0348662, 2.47137, 0
-0.0149297, -0.0521653, 0.609155, -1.89861, 0.0348909, 2.47098, 0
-0.0152598, -0.0521972, 0.609148, -1.89971, 0.0349154, 2.47059, 0
-0.0155866, -0.0522287, 0.609141, -1.9008, 0.0349397, 2.4702, 0
-0.0159101, -0.05226, 0.609134, -1.90188, 0.0349637, 2.46983, 0
-0.0162304, -0.0522909, 0.609127, -1.90295, 0.0349875, 2.46945, 0
-0.0165475, -0.0523215, 0.60912, -1.904, 0.035011, 2.46908, 0
-0.0168614, -0.0523518, 0.609113, -1.90505, 0.0350343, 2.46871, 0
-0.0171722, -0.0523819, 0.609106, -1.90608, 0.0350574, 2.46835, 0
-0.0174799, -0.0524116, 0.609099, -1.90711, 0.0350802, 2.46799, 0
-0.0177845, -0.052441, 0.609093, -1.90812, 0.0351028, 2.46763, 0
-0.018086, -0.0524702, 0.609086, -1.90913, 0.0351252, 2.46727, 0
-0.0183846, -0.052499, 0.60908, -1.91012, 0.0351473, 2.46692, 0
-0.0186801, -0.0525276, 0.609073, -1.91111, 0.0351693, 2.46658, 0
-0.0189727, -0.0525558, 0.609067, -1.91208, 0.035191, 2.46623, 0
-0.0192624, -0.0525838, 0.60906, -1.91305, 0.0352124, 2.4659, 0
-0.0195491, -0.0526116, 0.609054, -1.914, 0.0352337, 2.46556, 0
-0.019833, -0.052639, 0.609048, -1.91495, 0.0352548, 2.46523, 0
-0.0201141, -0.0526662, 0.609042, -1.91589, 0.0352756, 2.4649, 0
-0.0203924, -0.0526931, 0.609036, -1.91681, 0.0352962, 2.46457, 0
-0.0206678, -0.0527197, 0.60903, -1.91773, 0.0353166, 2.46425, 0
-0.0209406, -0.0527461, 0.609024, -1.91864, 0.0353369, 2.46393, 0
-0.0212105, -0.0527722, 0.609018, -1.91954, 0.0353569, 2.46361, 0
-0.0214778, -0.0527981, 0.609012, -1.92043, 0.0353767, 2.4633, 0
-0.0217424, -0.0528237, 0.609006, -1.92131, 0.0353963, 2.46299, 0
-0.0220044, -0.052849, 0.609001, -1.92219, 0.0354157, 2.46268, 0
-0.0222638, -0.0528741, 0.608995, -1.92305, 0.0354349, 2.46238, 0
-0.0225205, -0.052899, 0.608989, -1.92391, 0.0354539, 2.46208, 0
-0.0227747, -0.0529236, 0.608984, -1.92475, 0.0354728, 2.46178, 0
-0.0230264, -0.0529479, 0.608978, -1.92559, 0.0354914, 2.46148, 0
-0.0232755, -0.0529721, 0.608973, -1.92642, 0.0355099, 2.46119, 0
-0.0235221, -0.0529959, 0.608967, -1.92724, 0.0355281, 2.4609, 0
-0.0237663, -0.0530196, 0.608962, -1.92806, 0.0355462, 2.46061, 0
-0.024008, -0.053043, 0.608957, -1.92886, 0.0355641, 2.46033, 0
-0.0242474, -0.0530662, 0.608952, -1.92966, 0.0355818, 2.46005, 0
-0.0244843, -0.0530891, 0.608947, -1.93045, 0.0355994, 2.45977, 0
-0.0247188, -0.0531118, 0.608941, -1.93123, 0.0356167, 2.4595, 0
-0.024951, -0.0531343, 0.608936, -1.932, 0.0356339, 2.45923, 0
-0.0251809, -0.0531566, 0.608931, -1.93277, 0.0356509, 2.45896, 0
-0.0254085, -0.0531786, 0.608926, -1.93353, 0.0356678, 2.45869, 0
-0.0256338, -0.0532004, 0.608922, -1.93428, 0.0356845, 2.45843, 0
-0.0258569, -0.053222, 0.608917, -1.93502, 0.035701, 2.45816, 0
-0.0260777, -0.0532434, 0.608912, -1.93576, 0.0357173, 2.4579, 0
-0.0262963, -0.0532646, 0.608907, -1.93649, 0.0357335, 2.45765, 0
-0.0265128, -0.0532856, 0.608902, -1.93721, 0.0357495, 2.45739, 0
-0.026727, -0.0533064, 0.608898, -1.93792, 0.0357654, 2.45714, 0
-0.0269392, -0.0533269, 0.608893, -1.93863, 0.0357811, 2.45689, 0
-0.0271492, -0.0533473, 0.608889, -1.93933, 0.0357966, 2.45665, 0
-0.0273571, -0.0533674, 0.608884, -1.94002, 0.035812, 2.4564, 0
-0.0275629, -0.0533874, 0.60888, -1.94071, 0.0358272, 2.45616, 0
-0.0277667, -0.0534071, 0.608875, -1.94139, 0.0358423, 2.45592, 0
-0.0279684, -0.0534267, 0.608871, -1.94206, 0.0358572, 2.45569, 0
-0.0281681, -0.053446, 0.608866, -1.94272, 0.035872, 2.45545, 0
-0.0283658, -0.0534652, 0.608862, -1.94338, 0.0358866, 2.45522, 0
